subjectId,subjectName,note,domains
1,计算机科学,25门课程,"[{'domainId': 1, 'domainName': '数据结构', 'subjectId': 1, 'domainGrade': '优'}, {'domainId': 4, 'domainName': '数学最佳化', 'subjectId': 1, 'domainGrade': None}, {'domainId': 6, 'domainName': '最优化', 'subjectId': 1, 'domainGrade': None}, {'domainId': 7, 'domainName': '信息论', 'subjectId': 1, 'domainGrade': None}, {'domainId': 9, 'domainName': '计算语言学', 'subjectId': 1, 'domainGrade': None}, {'domainId': 10, 'domainName': '数据挖掘', 'subjectId': 1, 'domainGrade': None}, {'domainId': 11, 'domainName': '数据库', 'subjectId': 1, 'domainGrade': None}, {'domainId': 12, 'domainName': '计算机图形学', 'subjectId': 1, 'domainGrade': None}, {'domainId': 13, 'domainName': '汇编语言', 'subjectId': 1, 'domainGrade': None}, {'domainId': 412, 'domainName': 'C语言', 'subjectId': 1, 'domainGrade': None}, {'domainId': 15, 'domainName': '计算机科学基础理论', 'subjectId': 1, 'domainGrade': None}, {'domainId': 18, 'domainName': '人工智能', 'subjectId': 1, 'domainGrade': None}, {'domainId': 19, 'domainName': '软件工程(自动构建)', 'subjectId': 1, 'domainGrade': None}, {'domainId': 202, 'domainName': '编译原理', 'subjectId': 1, 'domainGrade': None}, {'domainId': 267, 'domainName': '人机交互', 'subjectId': 1, 'domainGrade': None}, {'domainId': 14, 'domainName': 'C语言(自动构建)', 'subjectId': 1, 'domainGrade': None}, {'domainId': 8, 'domainName': '计算机安全', 'subjectId': 1, 'domainGrade': None}, {'domainId': 3, 'domainName': 'java', 'subjectId': 1, 'domainGrade': '良'}, {'domainId': 413, 'domainName': '数据结构(人工)', 'subjectId': 1, 'domainGrade': '优'}, {'domainId': 414, 'domainName': '操作系统', 'subjectId': 1, 'domainGrade': None}, {'domainId': 416, 'domainName': '高等数学', 'subjectId': 1, 'domainGrade': '优'}, {'domainId': 503, 'domainName': '计算机系统结构', 'subjectId': 1, 'domainGrade': None}, {'domainId': 501, 'domainName': '数据库应用', 'subjectId': 1, 'domainGrade': None}, {'domainId': 879, 'domainName': '机器学习', 'subjectId': 1, 'domainGrade': None}, {'domainId': 881, 'domainName': 'python', 'subjectId': 1, 'domainGrade': None}, {'domainId': 885, 'domainName': '计算机视觉', 'subjectId': 1, 'domainGrade': None}, {'domainId': 950, 'domainName': '软件工程', 'subjectId': 1, 'domainGrade': None}, {'domainId': 956, 'domainName': 'C语言课程', 'subjectId': 1, 'domainGrade': None}]"
2,数学,30门课程,"[{'domainId': 20, 'domainName': '初等数学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 21, 'domainName': '代数', 'subjectId': 2, 'domainGrade': None}, {'domainId': 24, 'domainName': '范畴论', 'subjectId': 2, 'domainGrade': None}, {'domainId': 27, 'domainName': '概率论', 'subjectId': 2, 'domainGrade': None}, {'domainId': 28, 'domainName': '统计力学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 29, 'domainName': '人口统计学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 30, 'domainName': '决策论', 'subjectId': 2, 'domainGrade': None}, {'domainId': 32, 'domainName': '代数几何', 'subjectId': 2, 'domainGrade': None}, {'domainId': 33, 'domainName': '拓扑学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 34, 'domainName': '微分几何', 'subjectId': 2, 'domainGrade': None}, {'domainId': 35, 'domainName': '三角学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 36, 'domainName': '几何形状', 'subjectId': 2, 'domainGrade': None}, {'domainId': 38, 'domainName': '初等几何', 'subjectId': 2, 'domainGrade': None}, {'domainId': 39, 'domainName': '古典几何学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 44, 'domainName': '度量几何', 'subjectId': 2, 'domainGrade': None}, {'domainId': 45, 'domainName': '离散几何', 'subjectId': 2, 'domainGrade': None}, {'domainId': 224, 'domainName': '离散数学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 231, 'domainName': '统计学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 239, 'domainName': '线性代数', 'subjectId': 2, 'domainGrade': None}, {'domainId': 245, 'domainName': '运筹学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 399, 'domainName': '密码学', 'subjectId': 2, 'domainGrade': None}, {'domainId': 400, 'domainName': '数学分析', 'subjectId': 2, 'domainGrade': None}, {'domainId': 401, 'domainName': '数值分析', 'subjectId': 2, 'domainGrade': None}, {'domainId': 403, 'domainName': '微分方程', 'subjectId': 2, 'domainGrade': None}, {'domainId': 404, 'domainName': '泛函分析', 'subjectId': 2, 'domainGrade': None}, {'domainId': 405, 'domainName': '矩阵论', 'subjectId': 2, 'domainGrade': None}, {'domainId': 406, 'domainName': '微积分', 'subjectId': 2, 'domainGrade': None}, {'domainId': 407, 'domainName': '平面几何', 'subjectId': 2, 'domainGrade': None}, {'domainId': 408, 'domainName': '立体几何', 'subjectId': 2, 'domainGrade': None}, {'domainId': 409, 'domainName': '博弈论', 'subjectId': 2, 'domainGrade': None}]"
3,医学,37门课程,"[{'domainId': 47, 'domainName': '中医', 'subjectId': 3, 'domainGrade': None}, {'domainId': 48, 'domainName': '汉医学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 51, 'domainName': '儿科', 'subjectId': 3, 'domainGrade': None}, {'domainId': 52, 'domainName': '内科学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 53, 'domainName': '兽医学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 56, 'domainName': '免疫学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 57, 'domainName': '内分泌学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 58, 'domainName': '医学遗传学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 62, 'domainName': '产科学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 64, 'domainName': '病理学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 65, 'domainName': '皮肤病学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 66, 'domainName': '眼科', 'subjectId': 3, 'domainGrade': None}, {'domainId': 67, 'domainName': '神经系统疾病', 'subjectId': 3, 'domainGrade': None}, {'domainId': 68, 'domainName': '神经内分泌学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 69, 'domainName': '神经解剖学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 73, 'domainName': '消化系统疾病', 'subjectId': 3, 'domainGrade': None}, {'domainId': 75, 'domainName': '肾脏学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 76, 'domainName': '肺病学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 77, 'domainName': '老年学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 78, 'domainName': '血液学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 79, 'domainName': '脉管学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 80, 'domainName': '医学伦理学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 81, 'domainName': '医学信息学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 83, 'domainName': '医学史', 'subjectId': 3, 'domainGrade': None}, {'domainId': 84, 'domainName': '医学教育', 'subjectId': 3, 'domainGrade': None}, {'domainId': 86, 'domainName': '放射线学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 87, 'domainName': '毒理学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 88, 'domainName': '流行病学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 89, 'domainName': '牙科', 'subjectId': 3, 'domainGrade': None}, {'domainId': 203, 'domainName': '病理解剖学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 223, 'domainName': '精神病学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 228, 'domainName': '生理学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 230, 'domainName': '生药学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 232, 'domainName': '外科学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 240, 'domainName': '药剂学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 241, 'domainName': '药理学', 'subjectId': 3, 'domainGrade': None}, {'domainId': 410, 'domainName': '糖尿病', 'subjectId': 3, 'domainGrade': None}]"
4,物理学,38门课程,"[{'domainId': 90, 'domainName': '等离子体物理学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 91, 'domainName': '电动力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 92, 'domainName': '磁学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 93, 'domainName': '非线性物理学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 95, 'domainName': '静电学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 96, 'domainName': '天体力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 97, 'domainName': '固体力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 99, 'domainName': '固体物理学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 100, 'domainName': '晶体学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 101, 'domainName': '纳米技术', 'subjectId': 4, 'domainGrade': None}, {'domainId': 102, 'domainName': '理论物理学家', 'subjectId': 4, 'domainGrade': None}, {'domainId': 103, 'domainName': '量子电子学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 104, 'domainName': '天体物理学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 107, 'domainName': '医学物理', 'subjectId': 4, 'domainGrade': None}, {'domainId': 108, 'domainName': '物理海洋学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 114, 'domainName': '光谱学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 116, 'domainName': '物理光学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 117, 'domainName': '声学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 121, 'domainName': '物理学史', 'subjectId': 4, 'domainGrade': None}, {'domainId': 124, 'domainName': '经典力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 205, 'domainName': '测量学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 206, 'domainName': '电路', 'subjectId': 4, 'domainGrade': None}, {'domainId': 212, 'domainName': '工程热力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 225, 'domainName': '流体力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 248, 'domainName': '空气动力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 280, 'domainName': '系统工程', 'subjectId': 4, 'domainGrade': None}, {'domainId': 357, 'domainName': '热力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 358, 'domainName': '粒子物理学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 359, 'domainName': '光学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 360, 'domainName': '量子光学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 361, 'domainName': '计算物理学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 362, 'domainName': '原子物理学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 363, 'domainName': '材料力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 364, 'domainName': '相对论', 'subjectId': 4, 'domainGrade': None}, {'domainId': 366, 'domainName': '电学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 367, 'domainName': '地球物理学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 368, 'domainName': '电磁学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 386, 'domainName': '量子力学', 'subjectId': 4, 'domainGrade': None}, {'domainId': 249, 'domainName': '冶金', 'subjectId': 4, 'domainGrade': None}, {'domainId': 123, 'domainName': '电现象', 'subjectId': 4, 'domainGrade': None}, {'domainId': 120, 'domainName': '物理学期刊', 'subjectId': 4, 'domainGrade': None}, {'domainId': 112, 'domainName': '光学计量', 'subjectId': 4, 'domainGrade': None}]"
5,化学,29门课程,"[{'domainId': 251, 'domainName': '危险化学品', 'subjectId': 5, 'domainGrade': None}, {'domainId': 125, 'domainName': '分离过程', 'subjectId': 5, 'domainGrade': None}, {'domainId': 126, 'domainName': '平衡化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 279, 'domainName': '物理化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 129, 'domainName': '化学元素列表', 'subjectId': 5, 'domainGrade': None}, {'domainId': 132, 'domainName': '化学史', 'subjectId': 5, 'domainGrade': None}, {'domainId': 133, 'domainName': '化学合成', 'subjectId': 5, 'domainGrade': None}, {'domainId': 135, 'domainName': '固体化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 145, 'domainName': '化学工业', 'subjectId': 5, 'domainGrade': None}, {'domainId': 147, 'domainName': '化学过程', 'subjectId': 5, 'domainGrade': None}, {'domainId': 148, 'domainName': '化学动力学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 149, 'domainName': '单元操作', 'subjectId': 5, 'domainGrade': None}, {'domainId': 150, 'domainName': '燃烧学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 151, 'domainName': '环境工程', 'subjectId': 5, 'domainGrade': None}, {'domainId': 152, 'domainName': '化学键', 'subjectId': 5, 'domainGrade': None}, {'domainId': 153, 'domainName': '地球化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 154, 'domainName': '超分子化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 155, 'domainName': '胶体化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 156, 'domainName': '糖化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 158, 'domainName': '理论化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 159, 'domainName': '水化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 210, 'domainName': '分析化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 229, 'domainName': '生物化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 234, 'domainName': '无机化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 242, 'domainName': '药物化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 244, 'domainName': '有机化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 253, 'domainName': '立体化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 396, 'domainName': '化学命名法', 'subjectId': 5, 'domainGrade': None}, {'domainId': 397, 'domainName': '核化学', 'subjectId': 5, 'domainGrade': None}, {'domainId': 398, 'domainName': '化学战', 'subjectId': 5, 'domainGrade': None}, {'domainId': 250, 'domainName': '有机金属化合物', 'subjectId': 5, 'domainGrade': None}, {'domainId': 140, 'domainName': '无机磷化合物', 'subjectId': 5, 'domainGrade': None}, {'domainId': 268, 'domainName': '家用化学品', 'subjectId': 5, 'domainGrade': None}, {'domainId': 957, 'domainName': '储能系统设计', 'subjectId': 5, 'domainGrade': None}]"
6,生物学,30门课程,"[{'domainId': 254, 'domainName': '蛋白质', 'subjectId': 6, 'domainGrade': None}, {'domainId': 160, 'domainName': '分子遗传学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 162, 'domainName': '膜生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 163, 'domainName': '发育生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 164, 'domainName': '古生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 165, 'domainName': '组织学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 168, 'domainName': '人体解剖学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 171, 'domainName': '植物解剖学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 172, 'domainName': '植物生理学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 173, 'domainName': '海洋生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 174, 'domainName': '生物伦理学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 176, 'domainName': '神经化学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 178, 'domainName': '演化生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 181, 'domainName': '生物学史', 'subjectId': 6, 'domainGrade': None}, {'domainId': 182, 'domainName': '生物技术', 'subjectId': 6, 'domainGrade': None}, {'domainId': 183, 'domainName': '人体生理学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 184, 'domainName': '系统生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 211, 'domainName': '分子生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 219, 'domainName': '环境微生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 256, 'domainName': '生物地理学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 266, 'domainName': '自然保育', 'subjectId': 6, 'domainGrade': None}, {'domainId': 281, 'domainName': '细胞生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 282, 'domainName': '基因组学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 385, 'domainName': '解剖学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 388, 'domainName': '微生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 389, 'domainName': '植物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 390, 'domainName': '神经生理学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 391, 'domainName': '生物工程', 'subjectId': 6, 'domainGrade': None}, {'domainId': 392, 'domainName': '细胞解剖学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 393, 'domainName': '遗传学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 276, 'domainName': '血液', 'subjectId': 6, 'domainGrade': None}, {'domainId': 270, 'domainName': '生物分子', 'subjectId': 6, 'domainGrade': None}, {'domainId': 269, 'domainName': '肽', 'subjectId': 6, 'domainGrade': None}, {'domainId': 265, 'domainName': '灭绝', 'subjectId': 6, 'domainGrade': None}, {'domainId': 264, 'domainName': '生物学文献', 'subjectId': 6, 'domainGrade': None}, {'domainId': 263, 'domainName': '生物过程', 'subjectId': 6, 'domainGrade': None}, {'domainId': 262, 'domainName': '基因', 'subjectId': 6, 'domainGrade': None}, {'domainId': 260, 'domainName': '糖生物学', 'subjectId': 6, 'domainGrade': None}, {'domainId': 258, 'domainName': '信号转导', 'subjectId': 6, 'domainGrade': None}, {'domainId': 259, 'domainName': '受体', 'subjectId': 6, 'domainGrade': None}]"
7,经济学,28门课程,"[{'domainId': 201, 'domainName': '保险学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 204, 'domainName': '财务管理', 'subjectId': 7, 'domainGrade': None}, {'domainId': 207, 'domainName': '电子商务', 'subjectId': 7, 'domainGrade': None}, {'domainId': 222, 'domainName': '会计学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 213, 'domainName': '公共经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 216, 'domainName': '国际经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 217, 'domainName': '国际贸易', 'subjectId': 7, 'domainGrade': None}, {'domainId': 218, 'domainName': '宏观经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 227, 'domainName': '审计学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 233, 'domainName': '微观经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 246, 'domainName': '政治经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 271, 'domainName': '金融学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 369, 'domainName': '计量经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 370, 'domainName': '金融经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 371, 'domainName': '经济史', 'subjectId': 7, 'domainGrade': None}, {'domainId': 372, 'domainName': '经济思想史', 'subjectId': 7, 'domainGrade': None}, {'domainId': 373, 'domainName': '劳动经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 374, 'domainName': '国际金融', 'subjectId': 7, 'domainGrade': None}, {'domainId': 375, 'domainName': '市场营销', 'subjectId': 7, 'domainGrade': None}, {'domainId': 376, 'domainName': '中国经济史', 'subjectId': 7, 'domainGrade': None}, {'domainId': 377, 'domainName': '法律经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 378, 'domainName': '发展经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 379, 'domainName': '财务会计', 'subjectId': 7, 'domainGrade': None}, {'domainId': 380, 'domainName': '人口经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 382, 'domainName': '管理信息系统', 'subjectId': 7, 'domainGrade': None}, {'domainId': 383, 'domainName': '数理经济学', 'subjectId': 7, 'domainGrade': None}, {'domainId': 384, 'domainName': '世界经济', 'subjectId': 7, 'domainGrade': None}]"
10,Medicine,,[]
11,Physics,,[]
12,Chemistry,,[]
13,Biology,,[]
14,网院,,[]
15,地理学,1门课程,[]
16,人工构建,人工构建,[]
17,法学,1门课程,[]
18,初中课程,初中课程,"[{'domainId': 417, 'domainName': '七年级语文', 'subjectId': 18, 'domainGrade': None}, {'domainId': 418, 'domainName': '八年级语文', 'subjectId': 18, 'domainGrade': None}, {'domainId': 419, 'domainName': '九年级语文', 'subjectId': 18, 'domainGrade': None}, {'domainId': 420, 'domainName': '七年级数学', 'subjectId': 18, 'domainGrade': None}, {'domainId': 421, 'domainName': '八年级数学', 'subjectId': 18, 'domainGrade': None}, {'domainId': 422, 'domainName': '九年级数学', 'subjectId': 18, 'domainGrade': None}, {'domainId': 424, 'domainName': '八年级物理', 'subjectId': 18, 'domainGrade': None}, {'domainId': 425, 'domainName': '九年级物理', 'subjectId': 18, 'domainGrade': None}, {'domainId': 426, 'domainName': '九年级化学', 'subjectId': 18, 'domainGrade': None}, {'domainId': 427, 'domainName': '七年级生物', 'subjectId': 18, 'domainGrade': None}, {'domainId': 428, 'domainName': '八年级生物', 'subjectId': 18, 'domainGrade': None}, {'domainId': 430, 'domainName': '七年级历史', 'subjectId': 18, 'domainGrade': None}, {'domainId': 431, 'domainName': '八年级历史', 'subjectId': 18, 'domainGrade': None}, {'domainId': 432, 'domainName': '九年级历史', 'subjectId': 18, 'domainGrade': None}, {'domainId': 433, 'domainName': '七年级地理', 'subjectId': 18, 'domainGrade': None}, {'domainId': 434, 'domainName': '八年级地理', 'subjectId': 18, 'domainGrade': None}, {'domainId': 436, 'domainName': '七年级政治', 'subjectId': 18, 'domainGrade': None}, {'domainId': 437, 'domainName': '八年级政治', 'subjectId': 18, 'domainGrade': None}, {'domainId': 438, 'domainName': '九年级政治', 'subjectId': 18, 'domainGrade': None}, {'domainId': 439, 'domainName': '初中信息技术', 'subjectId': 18, 'domainGrade': None}, {'domainId': 467, 'domainName': '七年级英语', 'subjectId': 18, 'domainGrade': None}, {'domainId': 468, 'domainName': '八年级英语', 'subjectId': 18, 'domainGrade': None}, {'domainId': 469, 'domainName': '九年级英语', 'subjectId': 18, 'domainGrade': None}]"
