subjectId,subjectName,note,domains
19,高中课程,高中课程,"[{'domainId': 440, 'domainName': '高一语文', 'subjectId': 19, 'domainGrade': None}, {'domainId': 441, 'domainName': '高二语文', 'subjectId': 19, 'domainGrade': None}, {'domainId': 442, 'domainName': '高三语文', 'subjectId': 19, 'domainGrade': None}, {'domainId': 444, 'domainName': '高中数学', 'subjectId': 19, 'domainGrade': None}, {'domainId': 446, 'domainName': '高一英语', 'subjectId': 19, 'domainGrade': None}, {'domainId': 447, 'domainName': '高二英语', 'subjectId': 19, 'domainGrade': None}, {'domainId': 448, 'domainName': '高三英语', 'subjectId': 19, 'domainGrade': None}, {'domainId': 449, 'domainName': '高一物理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 450, 'domainName': '高二物理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 451, 'domainName': '高三物理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 452, 'domainName': '高一化学', 'subjectId': 19, 'domainGrade': None}, {'domainId': 453, 'domainName': '高二化学', 'subjectId': 19, 'domainGrade': None}, {'domainId': 454, 'domainName': '高三化学', 'subjectId': 19, 'domainGrade': None}, {'domainId': 455, 'domainName': '高一生物', 'subjectId': 19, 'domainGrade': None}, {'domainId': 456, 'domainName': '高二生物', 'subjectId': 19, 'domainGrade': None}, {'domainId': 457, 'domainName': '高三生物', 'subjectId': 19, 'domainGrade': None}, {'domainId': 458, 'domainName': '高一历史', 'subjectId': 19, 'domainGrade': None}, {'domainId': 459, 'domainName': '高二历史 ', 'subjectId': 19, 'domainGrade': None}, {'domainId': 461, 'domainName': '高一政治', 'subjectId': 19, 'domainGrade': None}, {'domainId': 462, 'domainName': '高二政治', 'subjectId': 19, 'domainGrade': None}, {'domainId': 463, 'domainName': '高三政治', 'subjectId': 19, 'domainGrade': None}, {'domainId': 464, 'domainName': '高一地理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 465, 'domainName': '高二地理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 466, 'domainName': '高三地理', 'subjectId': 19, 'domainGrade': None}]"
20,小学课程,小学课程,"[{'domainId': 954, 'domainName': '低年级(1-2)数学', 'subjectId': 20, 'domainGrade': None}, {'domainId': 471, 'domainName': '低年级(1-2)语文', 'subjectId': 20, 'domainGrade': None}, {'domainId': 480, 'domainName': '高年级(5-6)数学', 'subjectId': 20, 'domainGrade': None}, {'domainId': 483, 'domainName': '中年级(3-4)英语', 'subjectId': 20, 'domainGrade': None}, {'domainId': 488, 'domainName': '低年级(1-2)科学', 'subjectId': 20, 'domainGrade': None}, {'domainId': 490, 'domainName': '五年级科学', 'subjectId': 20, 'domainGrade': None}, {'domainId': 955, 'domainName': '中年级(3-4)数学', 'subjectId': 20, 'domainGrade': None}]"
21,示范课程,,"[{'domainId': 500, 'domainName': '示范课程高等数学', 'subjectId': 21, 'domainGrade': None}, {'domainId': 645, 'domainName': '电气系统', 'subjectId': 21, 'domainGrade': None}, {'domainId': 657, 'domainName': '可持续建筑', 'subjectId': 21, 'domainGrade': None}, {'domainId': 663, 'domainName': '建筑设计', 'subjectId': 21, 'domainGrade': None}, {'domainId': 671, 'domainName': '建築獎項\u200e', 'subjectId': 21, 'domainGrade': None}, {'domainId': 958, 'domainName': '工业机器人智能故障诊断及健康评估系统', 'subjectId': 21, 'domainGrade': None}]"
22,测试,测试,"[{'domainId': 504, 'domainName': '企业知识森林', 'subjectId': 22, 'domainGrade': None}]"
35,社会学,社会学,"[{'domainId': 226, 'domainName': '商法学', 'subjectId': 35, 'domainGrade': None}, {'domainId': 615, 'domainName': '古代語言', 'subjectId': 35, 'domainGrade': None}, {'domainId': 627, 'domainName': '流行語', 'subjectId': 35, 'domainGrade': None}, {'domainId': 647, 'domainName': '社会法', 'subjectId': 35, 'domainGrade': None}, {'domainId': 660, 'domainName': '社会政策', 'subjectId': 35, 'domainGrade': None}, {'domainId': 674, 'domainName': '环境社会科学', 'subjectId': 35, 'domainGrade': None}, {'domainId': 676, 'domainName': '犯罪社会学', 'subjectId': 35, 'domainGrade': None}, {'domainId': 677, 'domainName': '中国社会问题', 'subjectId': 35, 'domainGrade': None}, {'domainId': 678, 'domainName': '职业安全与健康', 'subjectId': 35, 'domainGrade': None}, {'domainId': 679, 'domainName': '宗教社会学', 'subjectId': 35, 'domainGrade': None}, {'domainId': 684, 'domainName': '军事社会学', 'subjectId': 35, 'domainGrade': None}, {'domainId': 685, 'domainName': '中国传统哲学', 'subjectId': 35, 'domainGrade': None}, {'domainId': 686, 'domainName': '中国传统技艺', 'subjectId': 35, 'domainGrade': None}, {'domainId': 690, 'domainName': '中国流行文化', 'subjectId': 35, 'domainGrade': None}, {'domainId': 706, 'domainName': '中华人民共和国社会保障制度', 'subjectId': 35, 'domainGrade': None}, {'domainId': 716, 'domainName': '质性研究', 'subjectId': 35, 'domainGrade': None}, {'domainId': 755, 'domainName': '社会伦理', 'subjectId': 35, 'domainGrade': None}, {'domainId': 728, 'domainName': '社会运动史', 'subjectId': 35, 'domainGrade': None}, {'domainId': 751, 'domainName': '社会科学哲学', 'subjectId': 35, 'domainGrade': None}, {'domainId': 766, 'domainName': '马克思主义', 'subjectId': 35, 'domainGrade': None}, {'domainId': 803, 'domainName': '社会理论', 'subjectId': 35, 'domainGrade': None}, {'domainId': 836, 'domainName': '古代语言', 'subjectId': 35, 'domainGrade': None}, {'domainId': 819, 'domainName': '社会心理学', 'subjectId': 35, 'domainGrade': None}, {'domainId': 837, 'domainName': '流行语', 'subjectId': 35, 'domainGrade': None}]"
34,心理学,心理学14,"[{'domainId': 617, 'domainName': '教育心理学', 'subjectId': 34, 'domainGrade': None}, {'domainId': 644, 'domainName': '心理健康', 'subjectId': 34, 'domainGrade': None}, {'domainId': 700, 'domainName': '生物心理学', 'subjectId': 34, 'domainGrade': None}, {'domainId': 701, 'domainName': '神经心理学', 'subjectId': 34, 'domainGrade': None}, {'domainId': 702, 'domainName': '认知心理学', 'subjectId': 34, 'domainGrade': None}, {'domainId': 712, 'domainName': '社區心理學', 'subjectId': 34, 'domainGrade': None}, {'domainId': 714, 'domainName': '異常心理學', 'subjectId': 34, 'domainGrade': None}, {'domainId': 746, 'domainName': '社會心理學', 'subjectId': 34, 'domainGrade': None}, {'domainId': 747, 'domainName': '精神病學', 'subjectId': 34, 'domainGrade': None}, {'domainId': 762, 'domainName': '心理學概念', 'subjectId': 34, 'domainGrade': None}, {'domainId': 761, 'domainName': '心理战', 'subjectId': 34, 'domainGrade': None}]"
33,Mathmatics,mathmatics,"[{'domainId': 604, 'domainName': 'Arithmetic', 'subjectId': 33, 'domainGrade': None}, {'domainId': 611, 'domainName': 'Category_theory', 'subjectId': 33, 'domainGrade': None}, {'domainId': 630, 'domainName': 'Calculus\u200e', 'subjectId': 33, 'domainGrade': None}, {'domainId': 658, 'domainName': 'Partial_differential_equations', 'subjectId': 33, 'domainGrade': None}, {'domainId': 710, 'domainName': 'Stochastic_processes', 'subjectId': 33, 'domainGrade': None}, {'domainId': 789, 'domainName': 'Calculus', 'subjectId': 33, 'domainGrade': None}]"
32,通信技术,通信技术,"[{'domainId': 589, 'domainName': '無缐電', 'subjectId': 32, 'domainGrade': None}, {'domainId': 591, 'domainName': '无线电技术', 'subjectId': 32, 'domainGrade': None}, {'domainId': 592, 'domainName': '电子工程', 'subjectId': 32, 'domainGrade': None}, {'domainId': 600, 'domainName': '嵌入式系统', 'subjectId': 32, 'domainGrade': None}, {'domainId': 602, 'domainName': '電子元件', 'subjectId': 32, 'domainGrade': None}, {'domainId': 605, 'domainName': '半導體', 'subjectId': 32, 'domainGrade': None}, {'domainId': 608, 'domainName': '通信技术', 'subjectId': 32, 'domainGrade': None}, {'domainId': 612, 'domainName': '电力', 'subjectId': 32, 'domainGrade': None}, {'domainId': 631, 'domainName': '网络软件', 'subjectId': 32, 'domainGrade': None}, {'domainId': 661, 'domainName': '无线网络', 'subjectId': 32, 'domainGrade': None}, {'domainId': 711, 'domainName': '应用程序接口', 'subjectId': 32, 'domainGrade': None}, {'domainId': 724, 'domainName': '软件架构', 'subjectId': 32, 'domainGrade': None}, {'domainId': 729, 'domainName': '微處理器', 'subjectId': 32, 'domainGrade': None}]"
31,历史学,历史学,"[{'domainId': 587, 'domainName': '文献学', 'subjectId': 31, 'domainGrade': None}, {'domainId': 583, 'domainName': '军事史学', 'subjectId': 31, 'domainGrade': None}, {'domainId': 584, 'domainName': '考古学', 'subjectId': 31, 'domainGrade': None}, {'domainId': 586, 'domainName': '漢學', 'subjectId': 31, 'domainGrade': None}, {'domainId': 588, 'domainName': '中国历史学', 'subjectId': 31, 'domainGrade': None}, {'domainId': 590, 'domainName': '日本历史学', 'subjectId': 31, 'domainGrade': None}, {'domainId': 593, 'domainName': '史学史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 594, 'domainName': '古文字学', 'subjectId': 31, 'domainGrade': None}, {'domainId': 595, 'domainName': '日本歷史認識問題', 'subjectId': 31, 'domainGrade': None}, {'domainId': 598, 'domainName': '中国地理史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 599, 'domainName': '中国科技史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 601, 'domainName': '中国社会史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 606, 'domainName': '中国文学史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 607, 'domainName': '中国教育史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 609, 'domainName': '年表', 'subjectId': 31, 'domainGrade': None}, {'domainId': 619, 'domainName': '中国交通史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 620, 'domainName': '中国天文史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 621, 'domainName': '日本文化史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 622, 'domainName': '日本交通史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 623, 'domainName': '俄罗斯政治史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 624, 'domainName': '希腊历史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 625, 'domainName': '英国文化史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 626, 'domainName': '地质年代', 'subjectId': 31, 'domainGrade': None}, {'domainId': 632, 'domainName': '英国军事史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 633, 'domainName': '英国社会史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 634, 'domainName': '英国经济史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 635, 'domainName': '美国政治史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 636, 'domainName': '美国军事史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 637, 'domainName': '美国经济史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 638, 'domainName': '美国文化史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 639, 'domainName': '美国外交史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 640, 'domainName': '美国罪案', 'subjectId': 31, 'domainGrade': None}, {'domainId': 641, 'domainName': '中国考古学', 'subjectId': 31, 'domainGrade': None}, {'domainId': 787, 'domainName': '中国人民解放军历史', 'subjectId': 31, 'domainGrade': None}, {'domainId': 788, 'domainName': '中国水军史', 'subjectId': 31, 'domainGrade': None}]"
30,Technology,Technology,"[{'domainId': 580, 'domainName': 'Real-time_technology\u200e', 'subjectId': 30, 'domainGrade': None}, {'domainId': 581, 'domainName': 'Science_and_technology', 'subjectId': 30, 'domainGrade': None}, {'domainId': 578, 'domainName': 'Technology_organizations\u200e', 'subjectId': 30, 'domainGrade': None}, {'domainId': 577, 'domainName': 'Obsolete_technologies', 'subjectId': 30, 'domainGrade': None}, {'domainId': 576, 'domainName': 'Mobile_technology\u200e', 'subjectId': 30, 'domainGrade': None}, {'domainId': 574, 'domainName': 'History_of_technology\u200e', 'subjectId': 30, 'domainGrade': None}, {'domainId': 575, 'domainName': 'Hypothetical_technology\u200e ', 'subjectId': 30, 'domainGrade': None}, {'domainId': 573, 'domainName': 'High-technology_business_districts\u200e ', 'subjectId': 30, 'domainGrade': None}, {'domainId': 571, 'domainName': 'Technology_development\u200e', 'subjectId': 30, 'domainGrade': None}, {'domainId': 568, 'domainName': 'Technological_change\u200e ', 'subjectId': 30, 'domainGrade': None}, {'domainId': 569, 'domainName': 'Technological_comparisons\u200e', 'subjectId': 30, 'domainGrade': None}, {'domainId': 840, 'domainName': 'Technical_specifications\u200e', 'subjectId': 30, 'domainGrade': None}]"
36,History,History,"[{'domainId': 618, 'domainName': 'History_of_North_Korea', 'subjectId': 36, 'domainGrade': None}, {'domainId': 628, 'domainName': 'History_of_ancient_China', 'subjectId': 36, 'domainGrade': None}, {'domainId': 653, 'domainName': 'Economic_history_of_Greece', 'subjectId': 36, 'domainGrade': None}, {'domainId': 654, 'domainName': 'Cultural_history_of_Russia', 'subjectId': 36, 'domainGrade': None}, {'domainId': 659, 'domainName': 'Social_history_of_Japan', 'subjectId': 36, 'domainGrade': None}, {'domainId': 656, 'domainName': 'Economic_history_of_France', 'subjectId': 36, 'domainGrade': None}, {'domainId': 680, 'domainName': 'Military_history_of_Greece', 'subjectId': 36, 'domainGrade': None}, {'domainId': 681, 'domainName': 'Political_history_of_Egypt', 'subjectId': 36, 'domainGrade': None}, {'domainId': 682, 'domainName': 'Jewish_Egyptian_history', 'subjectId': 36, 'domainGrade': None}, {'domainId': 683, 'domainName': 'Cultural_history_of_France', 'subjectId': 36, 'domainGrade': None}, {'domainId': 725, 'domainName': 'Geographic_history_of_China', 'subjectId': 36, 'domainGrade': None}, {'domainId': 726, 'domainName': 'Economic_history_of_Italy', 'subjectId': 36, 'domainGrade': None}, {'domainId': 734, 'domainName': 'Archaeology_of_China', 'subjectId': 36, 'domainGrade': None}, {'domainId': 756, 'domainName': 'Historiography_of_China', 'subjectId': 36, 'domainGrade': None}, {'domainId': 786, 'domainName': 'Cultural_heritage_of_China', 'subjectId': 36, 'domainGrade': None}]"
37,Physics,Physics,[]
38,建筑学,建筑学,[]
40,Religious studies,Religious studies16,[]
58,合同法,合同法图谱数据,"[{'domainId': 880, 'domainName': '合同法', 'subjectId': 58, 'domainGrade': None}]"
49,法学,法学15,[]
43,音樂理論,音樂理論,[]
44,艺术学,艺术学,"[{'domainId': 770, 'domainName': '東亞傳統繪畫', 'subjectId': 44, 'domainGrade': None}, {'domainId': 665, 'domainName': '金屬加工', 'subjectId': 44, 'domainGrade': None}, {'domainId': 667, 'domainName': '雕塑', 'subjectId': 44, 'domainGrade': None}, {'domainId': 668, 'domainName': '中国戏曲', 'subjectId': 44, 'domainGrade': None}, {'domainId': 669, 'domainName': '后现代艺术', 'subjectId': 44, 'domainGrade': None}, {'domainId': 769, 'domainName': '音樂理論', 'subjectId': 44, 'domainGrade': None}, {'domainId': 687, 'domainName': '中國動畫電影', 'subjectId': 44, 'domainGrade': None}, {'domainId': 688, 'domainName': '手工艺', 'subjectId': 44, 'domainGrade': None}, {'domainId': 689, 'domainName': '中国文学作品', 'subjectId': 44, 'domainGrade': None}, {'domainId': 691, 'domainName': '中国陶瓷', 'subjectId': 44, 'domainGrade': None}, {'domainId': 703, 'domainName': '電影理論', 'subjectId': 44, 'domainGrade': None}, {'domainId': 713, 'domainName': '現代藝術', 'subjectId': 44, 'domainGrade': None}, {'domainId': 742, 'domainName': '舞蹈', 'subjectId': 44, 'domainGrade': None}, {'domainId': 743, 'domainName': '繪畫', 'subjectId': 44, 'domainGrade': None}, {'domainId': 744, 'domainName': '中国美术', 'subjectId': 44, 'domainGrade': None}, {'domainId': 745, 'domainName': '乐器', 'subjectId': 44, 'domainGrade': None}, {'domainId': 771, 'domainName': '古典音樂', 'subjectId': 44, 'domainGrade': None}, {'domainId': 777, 'domainName': '電影製作', 'subjectId': 44, 'domainGrade': None}, {'domainId': 781, 'domainName': '中國電影作品', 'subjectId': 44, 'domainGrade': None}, {'domainId': 792, 'domainName': '表演藝術', 'subjectId': 44, 'domainGrade': None}, {'domainId': 830, 'domainName': '視覺藝術', 'subjectId': 44, 'domainGrade': None}]"
45,Humanities,Humanities,"[{'domainId': 693, 'domainName': 'Comedy_rock', 'subjectId': 45, 'domainGrade': None}, {'domainId': 768, 'domainName': 'Phonology', 'subjectId': 45, 'domainGrade': None}, {'domainId': 773, 'domainName': 'Paleoanthropology', 'subjectId': 45, 'domainGrade': None}, {'domainId': 774, 'domainName': 'Ethnic_studies', 'subjectId': 45, 'domainGrade': None}, {'domainId': 856, 'domainName': 'Ethics', 'subjectId': 45, 'domainGrade': None}, {'domainId': 780, 'domainName': 'Chinese_mythology', 'subjectId': 45, 'domainGrade': None}, {'domainId': 782, 'domainName': 'Folk_culture', 'subjectId': 45, 'domainGrade': None}, {'domainId': 783, 'domainName': 'Comedy-drama', 'subjectId': 45, 'domainGrade': None}, {'domainId': 799, 'domainName': 'Media_studies', 'subjectId': 45, 'domainGrade': None}, {'domainId': 791, 'domainName': 'Human_genetics', 'subjectId': 45, 'domainGrade': None}, {'domainId': 793, 'domainName': 'Ethnology', 'subjectId': 45, 'domainGrade': None}, {'domainId': 797, 'domainName': 'Genealogy', 'subjectId': 45, 'domainGrade': None}, {'domainId': 808, 'domainName': 'Cosmology', 'subjectId': 45, 'domainGrade': None}, {'domainId': 824, 'domainName': 'History_of_literature', 'subjectId': 45, 'domainGrade': None}, {'domainId': 825, 'domainName': 'Archaeology', 'subjectId': 45, 'domainGrade': None}, {'domainId': 826, 'domainName': 'Political_culture', 'subjectId': 45, 'domainGrade': None}, {'domainId': 829, 'domainName': 'Epistemology', 'subjectId': 45, 'domainGrade': None}]"
57,Computer Science,Computer Science,"[{'domainId': 283, 'domainName': 'Data Structure', 'subjectId': 57, 'domainGrade': None}, {'domainId': 284, 'domainName': 'History_of_computer_science', 'subjectId': 57, 'domainGrade': None}, {'domainId': 285, 'domainName': 'Java_(programming_language)', 'subjectId': 57, 'domainGrade': None}, {'domainId': 874, 'domainName': 'Augmented_reality', 'subjectId': 57, 'domainGrade': None}, {'domainId': 873, 'domainName': 'Self-driving_cars', 'subjectId': 57, 'domainGrade': None}, {'domainId': 878, 'domainName': 'Knowledge_bases', 'subjectId': 57, 'domainGrade': None}]"
48,地理,地理,"[{'domainId': 247, 'domainName': '地图学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 651, 'domainName': '文化地理学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 662, 'domainName': '经济地理学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 673, 'domainName': '历史地理学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 754, 'domainName': '海洋学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 727, 'domainName': '测绘学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 760, 'domainName': '气象学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 849, 'domainName': '亚洲生态区', 'subjectId': 48, 'domainGrade': None}, {'domainId': 776, 'domainName': '歷史遺跡', 'subjectId': 48, 'domainGrade': None}, {'domainId': 778, 'domainName': '古希腊地理', 'subjectId': 48, 'domainGrade': None}, {'domainId': 785, 'domainName': '地震学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 794, 'domainName': '农业生态学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 795, 'domainName': '水域生态学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 798, 'domainName': '淡水生态学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 812, 'domainName': '太陽系天體地形', 'subjectId': 48, 'domainGrade': None}, {'domainId': 822, 'domainName': '自然地理學', 'subjectId': 48, 'domainGrade': None}, {'domainId': 816, 'domainName': '地质学', 'subjectId': 48, 'domainGrade': None}, {'domainId': 833, 'domainName': '區域研究', 'subjectId': 48, 'domainGrade': None}, {'domainId': 834, 'domainName': '領土變遷', 'subjectId': 48, 'domainGrade': None}, {'domainId': 835, 'domainName': '边境地形', 'subjectId': 48, 'domainGrade': None}, {'domainId': 838, 'domainName': '植被', 'subjectId': 48, 'domainGrade': None}, {'domainId': 850, 'domainName': '地方史', 'subjectId': 48, 'domainGrade': None}, {'domainId': 844, 'domainName': '各國地理史', 'subjectId': 48, 'domainGrade': None}, {'domainId': 845, 'domainName': '地區主義', 'subjectId': 48, 'domainGrade': None}, {'domainId': 848, 'domainName': '各國地區', 'subjectId': 48, 'domainGrade': None}, {'domainId': 851, 'domainName': '地方自治', 'subjectId': 48, 'domainGrade': None}, {'domainId': 852, 'domainName': '地名學', 'subjectId': 48, 'domainGrade': None}, {'domainId': 853, 'domainName': '气候带', 'subjectId': 48, 'domainGrade': None}, {'domainId': 854, 'domainName': '氣候史', 'subjectId': 48, 'domainGrade': None}, {'domainId': 855, 'domainName': '各國氣候', 'subjectId': 48, 'domainGrade': None}]"
51,Nature,Nature,"[{'domainId': 699, 'domainName': 'Ecological_economics', 'subjectId': 51, 'domainGrade': None}, {'domainId': 694, 'domainName': 'Ecotoxicology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 695, 'domainName': 'Evolutionary_ecology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 696, 'domainName': 'Chemical_ecology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 698, 'domainName': 'Insular_ecology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 704, 'domainName': 'Trophic_ecology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 705, 'domainName': 'Ecological_genetics', 'subjectId': 51, 'domainGrade': None}, {'domainId': 707, 'domainName': 'Marine_geology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 715, 'domainName': 'Genomics', 'subjectId': 51, 'domainGrade': None}, {'domainId': 721, 'domainName': 'Environmental_microbiology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 723, 'domainName': 'Plant_physiology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 763, 'domainName': 'Histology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 748, 'domainName': 'Cell_anatomy', 'subjectId': 51, 'domainGrade': None}, {'domainId': 749, 'domainName': 'Sandstone', 'subjectId': 51, 'domainGrade': None}, {'domainId': 750, 'domainName': 'Freshwater_ecology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 764, 'domainName': 'Astronomical_events', 'subjectId': 51, 'domainGrade': None}, {'domainId': 765, 'domainName': 'Human_physiology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 800, 'domainName': 'Developmental_neuroscience', 'subjectId': 51, 'domainGrade': None}, {'domainId': 801, 'domainName': 'Cloning', 'subjectId': 51, 'domainGrade': None}, {'domainId': 802, 'domainName': 'Cytopathology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 809, 'domainName': 'Soil_science', 'subjectId': 51, 'domainGrade': None}, {'domainId': 810, 'domainName': 'Plant_anatomy', 'subjectId': 51, 'domainGrade': None}, {'domainId': 817, 'domainName': 'Organic_farming', 'subjectId': 51, 'domainGrade': None}, {'domainId': 818, 'domainName': 'Developmental_biology', 'subjectId': 51, 'domainGrade': None}, {'domainId': 820, 'domainName': 'Energy_economics', 'subjectId': 51, 'domainGrade': None}, {'domainId': 831, 'domainName': 'Photochemistry', 'subjectId': 51, 'domainGrade': None}]"
52,天文学,天文学,"[{'domainId': 731, 'domainName': '银河系天文学', 'subjectId': 52, 'domainGrade': None}, {'domainId': 732, 'domainName': '古代天文学', 'subjectId': 52, 'domainGrade': None}, {'domainId': 733, 'domainName': '天体测量学', 'subjectId': 52, 'domainGrade': None}, {'domainId': 735, 'domainName': '引力波天文学', 'subjectId': 52, 'domainGrade': None}, {'domainId': 736, 'domainName': 'X射线天文学', 'subjectId': 52, 'domainGrade': None}, {'domainId': 737, 'domainName': '占星術史', 'subjectId': 52, 'domainGrade': None}, {'domainId': 738, 'domainName': '天體生物學', 'subjectId': 52, 'domainGrade': None}, {'domainId': 739, 'domainName': '天球坐标系统', 'subjectId': 52, 'domainGrade': None}, {'domainId': 740, 'domainName': '太空科學', 'subjectId': 52, 'domainGrade': None}, {'domainId': 741, 'domainName': '恒星天文学', 'subjectId': 52, 'domainGrade': None}]"
53,Geography,Geography,"[{'domainId': 806, 'domainName': 'Paleogeography', 'subjectId': 53, 'domainGrade': None}, {'domainId': 804, 'domainName': 'Language_geography', 'subjectId': 53, 'domainGrade': None}, {'domainId': 805, 'domainName': 'Military_geography', 'subjectId': 53, 'domainGrade': None}, {'domainId': 807, 'domainName': 'Pedology', 'subjectId': 53, 'domainGrade': None}, {'domainId': 811, 'domainName': 'Structural_geology', 'subjectId': 53, 'domainGrade': None}, {'domainId': 857, 'domainName': 'Collaborative_mapping', 'subjectId': 53, 'domainGrade': None}, {'domainId': 858, 'domainName': 'Geographic_coordinate_systems', 'subjectId': 53, 'domainGrade': None}, {'domainId': 859, 'domainName': 'Geographic_information_systems', 'subjectId': 53, 'domainGrade': None}, {'domainId': 860, 'domainName': 'History_of_cartography', 'subjectId': 53, 'domainGrade': None}, {'domainId': 861, 'domainName': 'Structural_basins', 'subjectId': 53, 'domainGrade': None}, {'domainId': 862, 'domainName': 'Web_mapping', 'subjectId': 53, 'domainGrade': None}, {'domainId': 870, 'domainName': 'Military_cartography', 'subjectId': 53, 'domainGrade': None}, {'domainId': 872, 'domainName': 'Ancient_Egyptian_buildings_and_structures', 'subjectId': 53, 'domainGrade': None}]"
56,Philosophy,philosophy,[]
